Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
93376,"Akira, Vol. 5",Katsuhiro Otomo,"Otomo, Katsuhiro","Yoko Umezawa, Jo Duffy","=""1569715270""","=""9781569715277""",4,4.49,Dark Horse,Paperback,413,2002,1984,2017/12/25,2017/12/25,,,read,,,,1,,,0,,,,,
47730,The Complete Poems,Anne Sexton,"Sexton, Anne",Maxine Kumin,"=""0395957761""","=""9780395957769""",0,4.28,Mariner Books,Paperback,656,1999,1981,,2017/12/21,to-read,to-read (#496),to-read,,,,0,,,0,,,,,
857502,Concerning the Spiritual in Art,Wassily Kandinsky,"Kandinsky, Wassily",,"=""0486234118""","=""9780486234113""",0,3.82,Dover Publications,Paperback,80,1977,1912,,2017/12/15,to-read,to-read (#495),to-read,,,,0,,,0,,,,,
33620004,The Fall of the Towers,Samuel R. Delany,"Delany, Samuel R.",,"=""""","=""""",0,3.63,Centipede Press,Hardcover,462,2016,1970,,2017/12/15,to-read,to-read (#494),to-read,,,,0,,,0,,,,,
1182117,The Diamond Sutra and The Sutra of Hui-Neng,Hui-Neng,"Hui-Neng, Hui-Neng","W.Y. Evans-Wentz, Christmas Humphreys, A.F. Price","=""0877730059""","=""9780877730057""",0,4.32,Shambhala,Paperback,168,1974,1969,,2017/12/10,to-read,to-read (#493),to-read,,,,0,,,0,,,,,
32191904,"Otherworld Barbara, Volume 2",Moto Hagio,"Hagio, Moto",Matt Thorn,"=""1683960238""","=""9781683960232""",4,4.02,Fantagraphics,Hardcover,400,2017,,2017/12/07,2017/12/07,,,read,,,,1,,,0,,,,,
553291,Femi Bankole Osunla: My Black President,Femi Bankole Osunla,"Osunla, Femi Bankole",,"=""1904563236""","=""9781904563235""",0,4.00,Trolley Press,Hardcover,,2006,2006,,2017/12/07,to-read,to-read (#492),to-read,,,,0,,,0,,,,,
34919661,My President Is Black,Marcus Moore,"Moore, Marcus",,"=""1543038506""","=""9781543038507""",0,0.0,Createspace Independent Publishing Platform,Paperback,98,2017,,,2017/12/07,to-read,to-read (#491),to-read,,,,0,,,0,,,,,
26889716,"Otherworld Barbara, Volume 1",Moto Hagio,"Hagio, Moto",Matt Thorn,"=""1606999435""","=""9781606999431""",5,4.06,Fantagraphics,Hardcover,400,2016,,2017/12/06,2017/12/06,,,read,,,,1,,,0,,,,,
304217,Viriconium,M. John Harrison,"Harrison, M. John",Neil Gaiman,"=""0553383159""","=""9780553383157""",0,3.80,Spectra,Paperback,462,2005,2000,,2017/12/03,to-read,to-read (#490),to-read,,,,0,,,0,,,,,
