Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
24072897,Deep Learning,Ian Goodfellow,"Goodfellow, Ian","Yoshua Bengio, Aaron Courville","=""""","=""""",0,4.44,The MIT Press,ebook,787,2016,2016,2019/12/01,2020/11/30,"academic, nonfiction","academic (#4), nonfiction (#244)",read,,,,1,,,0,,,,,
2047855,Category Theory,Steve Awodey,"Awodey, Steve",,"=""0198568614""","=""9780198568612""",0,4.10,Clarendon Press,Hardcover,256,2006,2006,,2020/11/30,"academic, to-read, nonfiction","academic (#3), to-read (#356), nonfiction (#243)",to-read,,,,1,,,0,,,,,
119399,Introduction to Probability Models,Sheldon M. Ross,"Ross, Sheldon M.",,"=""0125980620""","=""9780125980623""",4,3.95,Academic Press,Hardcover,800,2006,1972,2020/12/01,2020/11/30,"academic, nonfiction","academic (#2), nonfiction (#242)",read,,,,1,,,0,,,,,
31352017,Introduction to Stochastic Processes with R,Robert P. Dobrow,"Dobrow, Robert P.",,"=""""","=""""",5,4.20,Wiley,Kindle Edition,877,2016,,2019/08/01,2020/11/23,"academic, shelf, nonfiction","academic (#1), shelf (#4), nonfiction (#241)",read,,,,1,,,1,,,unspecified,,
34381317,Go Home!,Rowan Hisayo Buchanan,"Buchanan, Rowan Hisayo","Viet Thanh Nguyen, Gaiutra Bahadur, Alexander Chee, Chang-rae Lee, Marilyn Chin, Mia Alvar, Kimiko Hahn","=""1936932016""","=""9781936932016""",0,3.98,The Feminist Press at CUNY,Paperback,320,2018,2018,,2021/01/26,"to-read, poetry, tales, essays, nonfiction","to-read (#346), poetry (#25), tales (#9), essays (#4), nonfiction (#240)",to-read,,,,0,,,0,,,,,
433567,Flatland: A Romance of Many Dimensions,Edwin A. Abbott,"Abbott, Edwin A.",Banesh Hoffmann,"=""048627263X""","=""9780486272634""",0,3.81,"Dover Publications, Inc.",Paperback,96,1992,1884,,2021/01/24,"to-read, science-fiction, fiction","to-read (#336), science-fiction (#31), fiction (#196)",to-read,,,,0,,,0,,,,,
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",0,4.50,Ballantine Books,Hardcover,496,2021,2021,,2021/01/18,"to-read, science-fiction, fiction","to-read (#327), science-fiction (#30), fiction (#195)",to-read,,,,0,,,0,,,,,
4703581,The City & the City,China Miéville,"Miéville, China",,"=""0345497511""","=""9780345497512""",0,3.90,Del Rey,Hardcover,312,2009,2009,,2021/01/24,"to-read, fantasy, science-fiction, mystery, fiction","to-read (#339), fantasy (#67), science-fiction (#32), mystery (#9), fiction (#107)",to-read,,,,0,,,0,,,,,
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",0,4.23,Ace Books,Hardcover,661,2019,1965,,2021/01/18,"to-read, science-fiction, fiction","to-read (#325), science-fiction (#28), fiction (#193)",to-read,,,,0,,,0,,,,,
32827036,"Ink (Skin Books, #1)",Alice Broadway,"Broadway, Alice",,"=""1407172840""","=""9781407172842""",0,3.63,Scholastic,Paperback,366,2017,2017,,2020/12/20,"to-read, fantasy, science-fiction, fiction","to-read (#293), fantasy (#64), science-fiction (#26), fiction (#104)",to-read,,,,0,,,0,,,,,
10357575,1Q84,Haruki Murakami,"Murakami, Haruki","Jay Rubin, Philip Gabriel","=""0307593312""","=""9780307593313""",0,3.92,Knopf,Hardcover,925,2011,2009,,2020/12/10,"to-read, science-fiction, fiction","to-read (#250), science-fiction (#25), fiction (#191)",to-read,,,,0,,,0,,,,,
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",0,4.13,Knopf,Hardcover,304,2021,2021,,2021/01/18,"to-read, science-fiction, fiction","to-read (#326), science-fiction (#29), fiction (#194)",to-read,,,,0,,,0,,,,,
